id,store_id,name,description,image_url,display_order
1,1,Батат сладкая картошка фри,"Батат, соус Тоскана",https://eda.yandex/images/3490335/600be6869abe1f03bfcb161862228b0b-450x300.jpeg,1
2,1,Буррито BBQ,"Куриное филе, сладкая кукуруза, болгарский перец, красный лук, чеснок, паприка, соус барбекю, тортилья, соус чесночный",https://eda.yandex/images/2394388/e3fdef52785c86576f7498ee7b01fb93-450x300.jpeg,2
3,1,Картофель фри,С кетчупом,https://eda.yandex/images/2394388/e933ccf67bcaba2194ffaa4704b95ad5-450x300.jpeg,3
4,1,Луковые кольца фри,С соусом secret sauce,https://eda.yandex/images/3595513/814266961a8f0814c610b2f2423cbb4b-450x300.jpeg,4
5,1,Чизбургер,"Котлета из мраморной говядины, сыр Чеддер, картофельная булка, кетчуп, салат, корнишоны",https://eda.yandex/images/3378693/7cab2d3b91ec679fc081194f65de2064-450x300.jpeg,1
6,1,Спот энд Чуз,"Котлета из мраморной говядины, сыр чеддер, бекон, картофельная булка, соус spot and choose, карамелизированный лук, начос, томат, лист салата",https://eda.yandex/images/3784951/63f0b400b5652200c6acbaf938352fa1-450x300.jpeg,2
7,1,Ноториус Би-ай-джи ака Расселл Вэстбрук,"Две котлеты из мраморной говядины, двойной сыр Чеддер, двойной бекон, картофельная булка, соус Spotandchoos, карамелизированный лук, начос, томат, лист салата",https://eda.yandex/images/3807631/563aee45d6c0f8824ab968c1cec669b1-450x300.jpeg,3
8,1,Веджи,"Картофельная булка, соус Spotandchoos, карамелизированный лук, хэшбраун, яйцо, сыр Чеддер, томат, салат",https://eda.yandex/images/3772831/927275f0f880e9503e8bc2265c6b0be9-450x300.jpeg,4
9,1,Ларри Бёрд,"Картофельная булка, йогуртовый соус, белое филе курицы, сыр чеддер, томат, свежий огурец",https://eda.yandex/images/3337779/371a8e63fc71eef9ae4349a814b36f91-450x300.jpeg,5
10,1,Дип Фрайд Ларри Бёрд,"Картофельная булка, котлета из курицы в хрустящей панировке с чеддером и халапеньо внутри, салат айсберг, горчичный соус, корнишоны",https://eda.yandex/images/3770794/ac14f860b179ab5a1963a6d7d7020fe7-450x300.jpeg,6
11,1,Banoffee pie,"Десерт из печенья, банана, варёной сгущенки и сливочного крема",,1
12,1,Кока Кола,,https://eda.yandex/images/3439767/5a9735240b78721c52724eb70face319-450x300.jpeg,1
13,1,Fanta,,https://eda.yandex/images/3436037/a70ecfd6febb751ee65076efec5ba8fd-450x300.jpeg,2
14,1,Sprite,,https://eda.yandex/images/2394388/23619639514f04ce18ae1cd97b208337-450x300.jpeg,3
15,1,Соус имбирный,,,1
16,1,Соус сырный,,,2
17,1,Соус Том ям,,,3
18,1,Соус Тоскана,,,4
19,1,Соус фирменный,,,5
20,1,Соус чесночный,,,6
